Organization,Threat Actor,Date
eds-automotive.de,lockbit3,1/1/2023
CDER,play,1/1/2023
S???,play,1/2/2023
Dental One,alphv,1/2/2023
Stratacache,play,1/2/2023
Furetank,play,1/3/2023
SUNY Polytechnic Institute,play,1/3/2023
Sirius Shipping,play,1/3/2023
"Aeronautics company Canada | UTC Aerospace Systems, Bombardier, NASA partners",everest,1/3/2023
Tarntank Ship Management,play,1/3/2023
Lpa-group.com,moneymessage,1/4/2023
CAPMC,blackbyte,1/4/2023
UNISALLE.EDU.CO,clop,1/4/2023
CGMLLC.NET,clop,1/5/2023
DSBJ DATA LEAK,royal,1/5/2023
Kansas City Homes,blackbyte,1/5/2023
Hayward,blackbyte,1/5/2023
Ellison Technologies,blackbyte,1/5/2023
Consulate Health Care,hive,1/6/2023
LetMeRepair,vicesociety,1/6/2023
Sub-drill Supply,vicesociety,1/6/2023
PROQUINAL Spradling Group,vicesociety,1/6/2023
Bevolution Group,royal,1/6/2023
LEK / HABO,royal,1/6/2023
City Lit,vicesociety,1/6/2023
Bay Area Rapid Transit,vicesociety,1/6/2023
Park View,vicesociety,1/6/2023
takamiya.co,lockbit3,1/7/2023
Pendulum Associates public website of data leak,alphv,1/7/2023
Grupo Estrategas EMM,alphv,1/7/2023
"Buffco Production, Inc.",alphv,1/7/2023
juarez.gob.mx,lockbit3,1/7/2023
100x100banco.com,lockbit3,1/7/2023
Swift Academies,vicesociety,1/7/2023
Duty Free Philippines,vicesociety,1/7/2023
Corporate Interiors Inc,avoslocker,1/7/2023
Fruttagel,alphv,1/7/2023
millennia.pro,lockbit3,1/8/2023
Koo Wee Rup Secondary College,alphv,1/8/2023
asianrecorp.com,lockbit3,1/8/2023
River City Science Academy,karakurt,1/9/2023
Aviacode,0mega,1/9/2023
Shelco,lorenz,1/10/2023
"Thor Specialties, Inc.",lorenz,1/10/2023
Fire Rescue Victoria,vicesociety,1/10/2023
Chestertons Inc.,lorenz,1/10/2023
datair.com,lockbit3,1/10/2023
ADIVA CO. LTD,mallox,1/11/2023
circlevillecourt.com,lockbit3,1/11/2023
Integerity Tax,medusa,1/11/2023
Grace Church International,medusa,1/11/2023
TIME TECHNOPLAST LIMITED,alphv,1/11/2023
Liebra Permana,alphv,1/11/2023
A????? ????k,play,1/11/2023
D???? P??????s,play,1/11/2023
G.W. Becker,hive,1/11/2023
Physician Partners of America,snatch,1/12/2023
IMI Hydronic Engineering,ransomhouse,1/12/2023
versteden.com,lockbit3,1/12/2023
lidestrifoodanddrink.com,lockbit3,1/12/2023
muellergartenbau.ch,lockbit3,1/12/2023
lloyddowson.co.uk,lockbit3,1/12/2023
russellfinex.com,lockbit3,1/12/2023
nuxe.com,lockbit3,1/12/2023
Ruhrpumpen,royal,1/12/2023
T A Supply,royal,1/12/2023
Chinery and Douglas,royal,1/12/2023
Trans Maldivian Airways,ransomhouse,1/13/2023
Air Comm Corporation,alphv,1/13/2023
Fu Yu Corporation,alphv,1/13/2023
fujikura-electronics.co.th,lockbit3,1/13/2023
NYCBAR.ORG,clop,1/13/2023
K2 Sports,blackbyte,1/14/2023
Samuels and Son Seafood,royal,1/14/2023
Hills Salvage and Recycling,royal,1/14/2023
Central Texas College,vicesociety,1/14/2023
Holovis,ransomhouse,1/14/2023
TIMco,vicesociety,1/14/2023
matrixschools.edu.my,lockbit3,1/14/2023
El Seif Development,mallox,1/15/2023
DAYTON PROGRESS,play,1/15/2023
Arnold Clark,play,1/16/2023
fulfilmentmatters.co.uk,lockbit3,1/16/2023
ak.com.sa,lockbit3,1/16/2023
Yayla Enerji Uretim Turizm ve Insaat Ticaret,mallox,1/16/2023
politriz.ind.br,lockbit3,1/16/2023
atcuae.ae,lockbit3,1/16/2023
melody.com.tr,lockbit3,1/16/2023
University of Duisburg-Essen,vicesociety,1/16/2023
WestsÃ¤chsische Hochschule Zwickau,royal,1/16/2023
Autodelta,royal,1/16/2023
ARC,blackbyte,1/16/2023
R C Stevens Construction,hive,1/16/2023
carinya,royal,1/17/2023
Livingston,royal,1/17/2023
K Azarosian Costello,royal,1/18/2023
Alhambra-Eidos,mallox,1/18/2023
duomed.com,lockbit3,1/18/2023
tvk.nl,lockbit3,1/18/2023
Pharmacare,alphv,1/19/2023
Fresh Del Monte,alphv,1/19/2023
NextGen,alphv,1/19/2023
Monmouth College,vicesociety,1/20/2023
Waynesboro,bianlian,1/20/2023
Aglobis,medusa,1/20/2023
flatironssolutions.com,lockbit3,1/20/2023
Guardian Analytics (US),daixin,1/20/2023
Cadmet,royal,1/21/2023
A,bianlian,1/21/2023
N****,bianlian,1/21/2023
HRL Technology Group,bianlian,1/21/2023
Pillar Resource Services,royal,1/21/2023
payroll2u.com,lockbit3,1/21/2023
miguelmechanical.com,lockbit3,1/22/2023
ibb-business-team.de,lockbit3,1/22/2023
CloudCall,vicesociety,1/23/2023
emoney Home Loans,vicesociety,1/23/2023
A?????L S?????????? ????,play,1/23/2023
IFPA,alphv,1/23/2023
elsan.care,lockbit3,1/24/2023
xlntinc.com,lockbit3,1/24/2023
First International Food co Ltd,mallox,1/25/2023
BOMCALCADO,mallox,1/25/2023
merlinpcbgroup.com,lockbit3,1/25/2023
EightPixelsSquare,medusa,1/25/2023
Copper Mountain,alphv,1/25/2023
Navnit Group,mallox,1/25/2023
ADMIRAL Sportwetten,play,1/26/2023
Crescent Crown Distributing,alphv,1/26/2023
Somacis,alphv,1/26/2023
SOLAR INDUSTRIES INDIA WAS HACKED. MORE THAN 2TB SECRET MILITARY DATA LEAKED,alphv,1/26/2023
ServiceMaster,royal,1/26/2023
IOC,royal,1/26/2023
CHARLES P VONDERHAAR CPA WAS HACKED. MORE TNAH 50GB SENSETIVE DATA LEAKED.CHARLES P VONDER,alphv,1/26/2023
Travis County Sheriffs Officers Association,royal,1/26/2023
*******,bianlian,1/26/2023
********* ******** ***** ***,bianlian,1/26/2023
Bristol Community College,vicesociety,1/26/2023
Ultrabulk,alphv,1/27/2023
Helicar,play,1/27/2023
EGR,vicesociety,1/28/2023
Arizona Reproductive Medicine Specialists,bianlian,1/28/2023
Westmont Hospitality Group,alphv,1/28/2023
Portnoff Law Associates,alphv,1/28/2023
ylresin.com,lockbit3,1/28/2023
Seguros Equinoccial,vicesociety,1/28/2023
azliver.com,lockbit3,1/29/2023
NPTC Group of Colleges,vicesociety,1/29/2023
Walker SCM,royal,1/30/2023
perenitysoftware.com,lockbit3,1/30/2023
luacesasesores.es,lockbit3,1/30/2023
fritsche.eu.com,lockbit3,1/30/2023
cm-vimioso.pt,lockbit3,1/30/2023
thermal.com,lockbit3,1/30/2023
dsavocats.com,lockbit3,1/30/2023
airalbania.com.al,lockbit3,1/30/2023
bulldoggroupinc.com,lockbit3,1/30/2023
cplindustries.co.uk,lockbit3,1/30/2023
kvie.org,lockbit3,1/30/2023
juvaskin.com,lockbit3,1/30/2023
itsservicios.com.mx,lockbit3,1/30/2023
wealthwise.com.au,lockbit3,1/30/2023
fujikura.co.jp,lockbit3,1/30/2023
Bank of Africa,medusa,1/30/2023
Scheppersinstituut Wetteren,vicesociety,1/30/2023
municipality of Torre del Greco,royal,1/30/2023
Okanagan College,vicesociety,1/30/2023
geraardsbergen.be,lockbit3,1/31/2023
parkavedoors.com,lockbit3,1/31/2023
tcels.or.th,lockbit3,1/31/2023
2cara.fr,lockbit3,1/31/2023
Societa Italiana Brevetti SpA,vicesociety,1/31/2023
TechInsights,vicesociety,1/31/2023
TK Elevator,royal,2/1/2023
Guildford County School,vicesociety,2/1/2023
N** ******,bianlian,2/1/2023
pharmagestao.com.br,lockbit3,2/2/2023
SOTO Consulting Engineers,alphv,2/2/2023
Casa Ley,royal,2/2/2023
